# main x,main y,main z,head x,head y,head z,tail x,tail y,tail z
-0.015,0.049,1.129,-0.036,1.391,0.893,0.003,-1.509,0.508
-0.015,0.049,1.128,-0.036,1.391,0.892,0.003,-1.509,0.508
-0.015,0.050,1.128,-0.037,1.391,0.891,0.003,-1.509,0.508
-0.016,0.050,1.127,-0.038,1.391,0.890,0.003,-1.509,0.508
-0.016,0.050,1.126,-0.038,1.392,0.889,0.003,-1.509,0.507
-0.016,0.051,1.126,-0.039,1.392,0.888,0.003,-1.509,0.507
-0.017,0.051,1.125,-0.039,1.392,0.887,0.003,-1.508,0.507
-0.017,0.051,1.125,-0.040,1.392,0.886,0.003,-1.508,0.507
-0.017,0.052,1.124,-0.040,1.393,0.886,0.003,-1.508,0.507
-0.017,0.052,1.124,-0.041,1.393,0.885,0.003,-1.508,0.507
-0.018,0.052,1.123,-0.042,1.393,0.884,0.003,-1.508,0.507
-0.018,0.053,1.123,-0.042,1.393,0.883,0.003,-1.508,0.507
-0.018,0.053,1.122,-0.043,1.394,0.882,0.003,-1.507,0.507
-0.018,0.053,1.122,-0.043,1.394,0.882,0.003,-1.507,0.507
-0.019,0.054,1.121,-0.044,1.394,0.881,0.003,-1.507,0.507
-0.019,0.054,1.121,-0.044,1.394,0.880,0.003,-1.507,0.506
-0.019,0.054,1.120,-0.045,1.395,0.879,0.003,-1.507,0.506
-0.019,0.054,1.120,-0.046,1.395,0.878,0.003,-1.507,0.506
-0.020,0.055,1.119,-0.046,1.395,0.877,0.003,-1.507,0.506
-0.020,0.055,1.119,-0.047,1.395,0.876,0.003,-1.507,0.506
-0.020,0.055,1.118,-0.047,1.395,0.875,0.003,-1.506,0.506
-0.020,0.056,1.118,-0.048,1.396,0.874,0.003,-1.506,0.506
-0.021,0.056,1.117,-0.049,1.396,0.873,0.003,-1.506,0.506
-0.021,0.056,1.117,-0.049,1.396,0.872,0.003,-1.506,0.506
-0.021,0.057,1.116,-0.050,1.396,0.871,0.003,-1.506,0.505
-0.022,0.057,1.115,-0.051,1.397,0.870,0.003,-1.506,0.505
-0.022,0.057,1.115,-0.052,1.397,0.869,0.003,-1.505,0.505
-0.022,0.058,1.114,-0.052,1.397,0.868,0.003,-1.505,0.505
-0.023,0.058,1.113,-0.053,1.398,0.867,0.003,-1.505,0.505
-0.023,0.059,1.113,-0.054,1.398,0.866,0.003,-1.505,0.505
-0.023,0.059,1.112,-0.054,1.398,0.865,0.003,-1.505,0.505
-0.023,0.059,1.111,-0.055,1.398,0.864,0.003,-1.505,0.505
-0.024,0.060,1.111,-0.056,1.399,0.862,0.003,-1.504,0.504
-0.024,0.060,1.110,-0.056,1.399,0.861,0.003,-1.504,0.504
-0.025,0.060,1.109,-0.057,1.399,0.860,0.003,-1.504,0.504
-0.025,0.061,1.108,-0.058,1.399,0.859,0.003,-1.504,0.504
-0.025,0.061,1.108,-0.058,1.400,0.857,0.003,-1.504,0.504
-0.025,0.062,1.107,-0.059,1.400,0.856,0.003,-1.504,0.504
-0.026,0.062,1.106,-0.059,1.400,0.855,0.003,-1.503,0.504
-0.026,0.063,1.105,-0.060,1.401,0.853,0.003,-1.503,0.504
-0.026,0.063,1.105,-0.060,1.401,0.852,0.003,-1.503,0.503
-0.026,0.063,1.104,-0.061,1.402,0.851,0.003,-1.503,0.503
-0.027,0.064,1.103,-0.061,1.402,0.849,0.003,-1.503,0.503
-0.027,0.064,1.102,-0.062,1.402,0.848,0.003,-1.502,0.503
-0.027,0.065,1.101,-0.062,1.403,0.846,0.003,-1.502,0.503
-0.027,0.065,1.100,-0.062,1.403,0.845,0.003,-1.502,0.503
-0.028,0.066,1.099,-0.063,1.403,0.843,0.002,-1.502,0.502
-0.028,0.067,1.098,-0.063,1.404,0.841,0.002,-1.501,0.502
-0.028,0.067,1.097,-0.063,1.404,0.840,0.002,-1.501,0.502
-0.028,0.068,1.096,-0.064,1.405,0.838,0.002,-1.501,0.502
-0.028,0.068,1.095,-0.064,1.405,0.836,0.002,-1.500,0.502
-0.029,0.069,1.094,-0.064,1.406,0.835,0.002,-1.500,0.501
-0.029,0.070,1.093,-0.064,1.406,0.833,0.002,-1.500,0.501
-0.029,0.070,1.092,-0.064,1.407,0.831,0.002,-1.500,0.501
-0.029,0.071,1.091,-0.065,1.407,0.829,0.002,-1.499,0.501
-0.029,0.072,1.090,-0.065,1.408,0.827,0.002,-1.499,0.501
-0.029,0.072,1.089,-0.065,1.408,0.825,0.002,-1.498,0.500
-0.029,0.073,1.088,-0.065,1.409,0.823,0.002,-1.498,0.500
-0.030,0.074,1.086,-0.065,1.409,0.821,0.002,-1.498,0.500
-0.030,0.074,1.085,-0.066,1.410,0.819,0.002,-1.498,0.500
-0.030,0.075,1.084,-0.066,1.410,0.817,0.001,-1.497,0.499
-0.030,0.076,1.083,-0.066,1.411,0.815,0.001,-1.497,0.499
-0.030,0.076,1.081,-0.066,1.412,0.813,0.001,-1.496,0.499
-0.030,0.077,1.080,-0.067,1.412,0.811,0.001,-1.496,0.499
-0.031,0.078,1.079,-0.067,1.413,0.808,0.001,-1.496,0.498
-0.031,0.079,1.077,-0.067,1.413,0.806,0.001,-1.495,0.498
-0.031,0.080,1.076,-0.067,1.414,0.804,0.001,-1.495,0.498
-0.031,0.080,1.074,-0.067,1.414,0.801,0.001,-1.495,0.498
-0.031,0.081,1.073,-0.068,1.415,0.798,0.001,-1.494,0.497
-0.031,0.082,1.071,-0.068,1.416,0.796,0.001,-1.494,0.497
-0.031,0.083,1.070,-0.068,1.416,0.793,0.001,-1.493,0.497
-0.032,0.084,1.068,-0.068,1.417,0.791,0.001,-1.493,0.496
-0.032,0.085,1.067,-0.068,1.418,0.788,0.001,-1.493,0.496
-0.032,0.086,1.065,-0.069,1.418,0.785,0.001,-1.492,0.496
-0.032,0.087,1.063,-0.069,1.419,0.782,0.001,-1.492,0.496
-0.032,0.088,1.061,-0.069,1.420,0.779,0.000,-1.491,0.495
-0.032,0.089,1.060,-0.069,1.421,0.776,0.000,-1.491,0.495
-0.033,0.090,1.058,-0.069,1.421,0.773,0.000,-1.490,0.494
-0.033,0.091,1.056,-0.070,1.422,0.770,0.000,-1.490,0.494
-0.033,0.092,1.054,-0.070,1.423,0.766,0.000,-1.489,0.494
-0.033,0.093,1.052,-0.070,1.424,0.763,0.000,-1.489,0.493
-0.033,0.094,1.050,-0.070,1.425,0.760,0.000,-1.488,0.493
-0.033,0.095,1.048,-0.070,1.426,0.756,-0.000,-1.487,0.493
-0.034,0.096,1.045,-0.071,1.426,0.752,-0.000,-1.487,0.492
-0.034,0.098,1.043,-0.071,1.427,0.749,-0.000,-1.486,0.492
-0.034,0.099,1.041,-0.071,1.428,0.745,-0.000,-1.486,0.491
-0.034,0.100,1.039,-0.072,1.429,0.741,-0.000,-1.485,0.491
-0.034,0.101,1.036,-0.072,1.430,0.737,-0.000,-1.484,0.490
-0.035,0.103,1.034,-0.072,1.431,0.733,-0.000,-1.484,0.490
-0.035,0.104,1.032,-0.072,1.432,0.729,-0.001,-1.483,0.489
-0.035,0.105,1.029,-0.073,1.433,0.724,-0.001,-1.483,0.489
-0.036,0.107,1.026,-0.073,1.434,0.720,-0.001,-1.482,0.488
-0.036,0.109,1.023,-0.074,1.435,0.715,-0.001,-1.481,0.488
-0.036,0.110,1.020,-0.074,1.436,0.710,-0.001,-1.480,0.487
-0.036,0.111,1.018,-0.074,1.437,0.706,-0.001,-1.480,0.487
-0.035,0.113,1.015,-0.074,1.438,0.701,-0.001,-1.479,0.486
